"Tablas";"userOPAC";"userINTRA";"userDevelop";"userAdmin"
" ";;;;
"| cat_analitica                     ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_autor                         ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_autor_analitica               ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_colaborador                   ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_contenido_estante             ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_control_seudonimo_autor       ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_control_seudonimo_editorial   ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_control_seudonimo_tema        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_control_sinonimo_autor        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_control_sinonimo_editorial    ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_control_sinonimo_tema         ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_editorial                     ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_encabezado_campo_opac         ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_encabezado_item_opac          ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
